timestamp,rows,time_taken,energy_consumption,previous_temp,previous_humi,current_temp,current_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1734895063,[],[],[],[],[],27.883,71.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734892367,"[5268, 5269, 5270, 5271, 5272, 5273, 5274, 5275, 5276, 5277]","[np.int64(384), np.int64(659), np.int64(1047), np.int64(1318), np.int64(1714), np.int64(2030), np.int64(2311), np.int64(2696), np.int64(3023), np.int64(3361)]","[np.float64(1.0), np.float64(0.009999999999990905), np.float64(1.009999999999991), np.float64(1.009999999999991), np.float64(0.009999999999990905), np.float64(1.0199999999999818), np.float64(0.01999999999998181), np.float64(1.0199999999999818), np.float64(0.01999999999998181), np.float64(0.029989999999997963)]","[np.float64(27.917), np.float64(27.9), np.float64(27.917), np.float64(27.871), np.float64(27.883), np.float64(27.883), np.float64(27.857), np.float64(27.883), np.float64(27.857), np.float64(27.867)]","[np.float64(70.214), np.float64(70.688), np.float64(70.5), np.float64(70.875), np.float64(70.5), np.float64(70.5), np.float64(70.875), np.float64(71.214), np.float64(71.5), np.float64(71.286)]",27.883,70.714,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734887139,[5252],[np.int64(329)],[np.float64(0.0)],[np.float64(27.9)],[np.float64(69.357)],27.871,69.125,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734891083,[5264],[np.int64(349)],[np.float64(0.0)],[np.float64(27.917)],[np.float64(70.214)],27.871,70.562,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734893685,[],[],[],[],[],27.871,70.875,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734888083,[],[],[],[],[],27.871,70.188,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734895728,"[5278, 5279, 5280, 5281, 5282, 5283, 5284, 5285, 5286, 5287]","[np.int64(268), np.int64(658), np.int64(927), np.int64(1316), np.int64(1586), np.int64(1955), np.int64(2299), np.int64(2577), np.int64(2948), np.int64(3236)]","[np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(1.009999999999991), np.float64(1.009999999999991), np.float64(0.009999999999990905), np.float64(1.009999999999991), np.float64(1.009999999999991), np.float64(1.0200100000000134), np.float64(1.0200100000000134)]","[np.float64(27.857), np.float64(27.85), np.float64(27.829), np.float64(27.85), np.float64(27.829), np.float64(27.843), np.float64(27.833), np.float64(27.8), np.float64(27.8), np.float64(27.8)]","[np.float64(71.812), np.float64(71.643), np.float64(71.875), np.float64(71.714), np.float64(72.0), np.float64(72.0), np.float64(71.786), np.float64(72.062), np.float64(71.929), np.float64(72.375)]",27.867,71.286,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734894678,"[5275, 5276, 5277, 5278, 5279, 5280, 5281, 5282, 5283, 5284]","[np.int64(385), np.int64(712), np.int64(1050), np.int64(1318), np.int64(1708), np.int64(1977), np.int64(2366), np.int64(2636), np.int64(3005), np.int64(3349)]","[np.float64(1.0), np.float64(0.0), np.float64(0.009990000000016153), np.float64(0.009990000000016153), np.float64(1.0099900000000162), np.float64(0.009990000000016153), np.float64(1.019990000000007), np.float64(1.019990000000007), np.float64(0.019990000000007058), np.float64(1.019990000000007)]","[np.float64(27.883), np.float64(27.857), np.float64(27.867), np.float64(27.857), np.float64(27.85), np.float64(27.829), np.float64(27.85), np.float64(27.829), np.float64(27.843), np.float64(27.833)]","[np.float64(71.214), np.float64(71.5), np.float64(71.286), np.float64(71.812), np.float64(71.643), np.float64(71.875), np.float64(71.714), np.float64(72.0), np.float64(72.0), np.float64(71.786)]",27.857,70.875,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734895996,"[5279, 5280, 5281, 5282, 5283, 5284, 5285, 5286, 5287, 5288]","[np.int64(390), np.int64(659), np.int64(1048), np.int64(1318), np.int64(1687), np.int64(2031), np.int64(2309), np.int64(2680), np.int64(2968), np.int64(3360)]","[np.float64(1.0), np.float64(0.0), np.float64(1.009999999999991), np.float64(1.009999999999991), np.float64(0.009999999999990905), np.float64(1.009999999999991), np.float64(1.009999999999991), np.float64(1.0200100000000134), np.float64(1.0200100000000134), np.float64(1.0300100000000043)]","[np.float64(27.85), np.float64(27.829), np.float64(27.85), np.float64(27.829), np.float64(27.843), np.float64(27.833), np.float64(27.8), np.float64(27.8), np.float64(27.8), np.float64(27.783)]","[np.float64(71.643), np.float64(71.875), np.float64(71.714), np.float64(72.0), np.float64(72.0), np.float64(71.786), np.float64(72.062), np.float64(71.929), np.float64(72.375), np.float64(72.071)]",27.857,71.812,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734886426,"[5250, 5251, 5252]","[np.int64(390), np.int64(713), np.int64(1042)]","[np.float64(0.009999999999990905), np.float64(0.01999999999998181), np.float64(0.01999999999998181)]","[np.float64(27.85), np.float64(27.871), np.float64(27.9)]","[np.float64(68.571), np.float64(69.125), np.float64(69.357)]",27.857,69.25,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
