timestamp,rows,time_taken,energy_consumption,future_temp,future_humi,current_temp,current_humi,weather_status,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1733837961,[],[],[],[],[],23.671,57.438,Clouds,ON,VERY HIGH,20.0,COOL,ON,VERY HIGH,20.0,COOL,ON,VERY HIGH,22.0,COOL,ON,VERY HIGH,22.4,COOL,ON,MID,25.0,COOL,ON,MID,24.0,COOL,ON,VERY HIGH,24.0,COOL,ON,MID,25.0,COOL
1736349922,[],[],[],[],[],23.662,58.333,Clouds,ON,MID,23.2,COOL,OFF,OFF,22.7,COOL,ON,MID,23.4,COOL,ON,MID,23.3,DRY,ON,HIGH,23.1,DRY,ON,MID,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.7,COOL
1733837627,[],[],[],[],[],23.65,57.556,Clouds,ON,VERY LOW,22.5,COOL,ON,VERY LOW,21.6,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,22.4,COOL,ON,MID,25.0,COOL,ON,MID,25.0,COOL,ON,VERY HIGH,24.0,COOL,ON,MID,25.0,COOL
1733837469,[],[],[],[],[],23.65,57.556,Clouds,ON,VERY LOW,22.5,COOL,ON,VERY LOW,21.6,COOL,ON,VERY LOW,22.0,COOL,ON,VERY LOW,22.4,COOL,ON,MID,25.0,COOL,ON,MID,25.0,COOL,ON,VERY HIGH,24.0,COOL,ON,MID,25.0,COOL
1737018991,"[8811, 8812, 8813, 8814, 8815, 8816]","[np.int64(632), np.int64(1265), np.int64(1897), np.int64(2529), np.int64(3162), np.int64(3794)]","[np.float64(1.569999999999709), np.float64(2.7100000000000364), np.float64(3.7000000000007276), np.float64(4.680000000000291), np.float64(5.640000000000327), np.float64(6.960000000000946)]","[np.float64(23.2), np.float64(22.625), np.float64(22.75), np.float64(22.738), np.float64(22.612), np.float64(22.562)]","[np.float64(68.333), np.float64(68.722), np.float64(70.833), np.float64(70.5), np.float64(69.556), np.float64(69.0)]",23.65,67.944,Clouds,ON,MID,23.0,COOL,ON,VERY LOW,16.0,COOL,ON,VERY HIGH,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY LOW,25.0,COOL,ON,MID,25.0,COOL,ON,MID,23.0,COOL,ON,VERY HIGH,22.0,COOL
1733999435,[],[],[],[],[],23.629,55.562,Clouds,ON,HIGH,21.6,COOL,ON,VERY LOW,22.6,DRY,ON,LOW,23.4,COOL,ON,MID,22.5,FAN,ON,LOW,21.7,COOL,ON,HIGH,22.8,COOL,OFF,OFF,22.7,COOL,OFF,OFF,23.2,DRY
1737119881,[],[],[],[],[],23.625,70.222,Clouds,ON,MID,25.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY LOW,25.0,COOL,ON,MID,25.0,COOL,ON,MID,23.0,COOL,ON,VERY HIGH,23.0,COOL
1734004049,[],[],[],[],[],23.614,56.125,Clouds,ON,HIGH,21.6,COOL,ON,VERY LOW,22.6,DRY,ON,LOW,23.4,COOL,ON,MID,22.5,FAN,ON,LOW,21.7,COOL,ON,HIGH,22.8,COOL,OFF,OFF,22.7,COOL,OFF,OFF,23.2,DRY
1735910471,[],[],[],[],[],23.612,53.222,Clouds,ON,MID,22.6,DRY,ON,VERY HIGH,23.1,DRY,ON,MID,22.9,COOL,ON,MID,22.6,DRY,OFF,OFF,22.9,COOL,ON,LOW,22.7,DRY,OFF,OFF,23.4,DRY,ON,MID,22.8,DRY
1736348005,[],[],[],[],[],23.612,58.889,Clouds,ON,MID,23.2,COOL,OFF,OFF,22.7,COOL,ON,MID,23.4,COOL,ON,MID,23.3,DRY,ON,HIGH,23.1,DRY,ON,MID,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.7,COOL
1736348117,[],[],[],[],[],23.612,58.889,Clouds,ON,MID,23.2,COOL,OFF,OFF,22.7,COOL,ON,MID,23.4,COOL,ON,MID,23.3,DRY,ON,HIGH,23.1,DRY,ON,MID,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.7,COOL
1734003063,[],[],[],[],[],23.6,56.0,Clouds,ON,HIGH,21.6,COOL,ON,VERY LOW,22.6,DRY,ON,LOW,23.4,COOL,ON,MID,22.5,FAN,ON,LOW,21.7,COOL,ON,HIGH,22.8,COOL,OFF,OFF,22.7,COOL,OFF,OFF,23.2,DRY
1735814090,[],[],[],[],[],23.6,66.778,Clouds,ON,MID,23.4,COOL,ON,MID,22.9,COOL,ON,MID,23.1,COOL,ON,VERY LOW,22.9,DRY,ON,MID,23.3,COOL,ON,MID,22.8,COOL,ON,MID,23.0,COOL,ON,HIGH,22.9,DRY
1736348645,"[8000, 8001]","[np.int64(638), np.int64(1277)]","[np.float64(2.869999999999891), np.float64(4.629999999999654)]","[np.float64(23.562), np.float64(23.662)]","[np.float64(57.389), np.float64(58.333)]",23.6,58.056,Clouds,ON,MID,23.2,COOL,OFF,OFF,22.7,COOL,ON,MID,23.4,COOL,ON,MID,23.3,DRY,ON,HIGH,23.1,DRY,ON,MID,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.7,COOL
1733999047,[],[],[],[],[],23.6,55.389,Clouds,ON,HIGH,21.6,COOL,ON,VERY LOW,22.6,DRY,ON,LOW,23.4,COOL,ON,MID,22.5,FAN,ON,LOW,21.7,COOL,ON,HIGH,22.8,COOL,OFF,OFF,22.7,COOL,OFF,OFF,23.2,DRY
1733836914,[],[],[],[],[],23.588,58.667,Clouds,ON,VERY LOW,25.0,COOL,ON,VERY LOW,21.6,DRY,ON,VERY LOW,22.0,COOL,ON,VERY LOW,22.4,COOL,ON,VERY HIGH,25.0,COOL,ON,MID,25.0,COOL,ON,VERY HIGH,24.0,COOL,ON,MID,25.0,COOL
1736411885,"[8101, 8102, 8103, 8104, 8105, 8106]","[np.int64(638), np.int64(1276), np.int64(1915), np.int64(2553), np.int64(3383), np.int64(4022)]","[np.float64(1.8599999999996726), np.float64(4.130000000000109), np.float64(5.979999999999563), np.float64(7.8100000000004), np.float64(10.279999999999745), np.float64(12.430000000000291)]","[np.float64(23.586), np.float64(23.288), np.float64(23.188), np.float64(23.25), np.float64(23.138), np.float64(23.138)]","[np.float64(64.688), np.float64(64.167), np.float64(64.389), np.float64(65.111), np.float64(64.778), np.float64(64.167)]",23.588,64.611,Clouds,ON,VERY HIGH,23.2,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.4,COOL,ON,VERY HIGH,23.3,COOL,OFF,OFF,26.0,COOL,ON,MID,22.7,COOL,OFF,OFF,23.0,COOL,ON,VERY LOW,25.0,COOL
1736412523,"[8102, 8103, 8104, 8105, 8106, 8107]","[np.int64(638), np.int64(1277), np.int64(1915), np.int64(2745), np.int64(3384), np.int64(4023)]","[np.float64(2.2700000000004366), np.float64(4.119999999999891), np.float64(5.950000000000728), np.float64(8.420000000000073), np.float64(10.570000000000618), np.float64(12.269999999999527)]","[np.float64(23.288), np.float64(23.188), np.float64(23.25), np.float64(23.138), np.float64(23.138), np.float64(23.138)]","[np.float64(64.167), np.float64(64.389), np.float64(65.111), np.float64(64.778), np.float64(64.167), np.float64(64.667)]",23.586,64.688,Clouds,ON,VERY HIGH,23.2,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.4,COOL,ON,VERY HIGH,23.3,COOL,OFF,OFF,26.0,COOL,ON,MID,22.7,COOL,OFF,OFF,23.0,COOL,ON,VERY LOW,25.0,COOL
1734000102,[],[],[],[],[],23.586,56.125,Clouds,ON,HIGH,21.6,COOL,ON,VERY LOW,22.6,DRY,ON,LOW,23.4,COOL,ON,MID,22.5,FAN,ON,LOW,21.7,COOL,ON,HIGH,22.8,COOL,OFF,OFF,22.7,COOL,OFF,OFF,23.2,DRY
1733832924,[],[],[],[],[],23.571,62.688,Clouds,ON,VERY LOW,25.0,COOL,ON,VERY LOW,25.0,FAN,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,25.0,COOL,ON,MID,25.0,COOL,ON,VERY HIGH,24.0,COOL,ON,VERY HIGH,25.0,COOL
1735813817,[],[],[],[],[],23.567,66.786,Clouds,ON,MID,23.4,COOL,ON,MID,22.9,COOL,ON,MID,23.1,COOL,ON,VERY LOW,22.9,DRY,ON,MID,23.3,COOL,ON,MID,22.8,COOL,ON,MID,23.0,COOL,ON,HIGH,22.9,DRY
1736349283,[8001],[np.int64(639)],[np.float64(1.7599999999997635)],[np.float64(23.662)],[np.float64(58.333)],23.562,57.389,Clouds,ON,MID,23.2,COOL,OFF,OFF,22.7,COOL,ON,MID,23.4,COOL,ON,MID,23.3,DRY,ON,HIGH,23.1,DRY,ON,MID,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.7,COOL
1737822811,[],[],[],[],[],23.562,65.056,Clouds,ON,MID,23.0,COOL,ON,VERY LOW,16.0,COOL,ON,VERY HIGH,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY LOW,25.0,COOL,ON,MID,25.0,COOL,ON,MID,23.0,COOL,ON,VERY HIGH,22.0,COOL
1735913067,[],[],[],[],[],23.55,53.333,Clouds,ON,MID,22.6,DRY,ON,MID,23.1,DRY,ON,VERY LOW,23.3,COOL,ON,MID,22.8,DRY,ON,HIGH,22.9,COOL,ON,LOW,22.7,DRY,ON,MID,23.4,DRY,ON,MID,22.8,DRY
1734004327,[],[],[],[],[],23.55,55.111,Clouds,ON,HIGH,21.6,COOL,ON,VERY LOW,22.6,DRY,ON,LOW,23.4,COOL,ON,MID,22.5,FAN,ON,LOW,21.7,COOL,ON,HIGH,22.8,COOL,OFF,OFF,22.7,COOL,OFF,OFF,23.2,DRY
1733832745,[],[],[],[],[],23.543,61.875,Clouds,ON,VERY LOW,25.0,COOL,ON,VERY LOW,25.0,FAN,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,25.0,COOL,ON,MID,25.0,COOL,ON,VERY HIGH,24.0,COOL,ON,VERY HIGH,25.0,COOL
1733832736,[],[],[],[],[],23.543,61.875,Clouds,ON,VERY LOW,25.0,COOL,ON,VERY LOW,25.0,FAN,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,25.0,COOL,ON,MID,25.0,COOL,ON,VERY HIGH,24.0,COOL,ON,VERY HIGH,25.0,COOL
1733832595,[],[],[],[],[],23.543,61.875,Clouds,ON,VERY LOW,25.0,COOL,ON,VERY LOW,25.0,FAN,ON,VERY LOW,22.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,25.0,COOL,ON,MID,25.0,COOL,ON,VERY HIGH,24.0,COOL,ON,VERY HIGH,25.0,COOL
