current_temp,current_humi,total_time_maintained,total_energy_consumption,energy_efficiency,door_status,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
24.4,55.143,628,0.9099999999998545,690.1098901100005,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
24.383,65.286,1885,3.279999999998836,574.6951219514235,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
24.383,58.071,9430,15.75000000000091,598.7301587301241,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
24.383,61.214,3773,5.6200000000008,671.3523131671642,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
24.317,77.643,612,0.8000000000010914,764.9999999989564,1.0,ON,MED,23.0,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL
24.267,60.929,1886,2.7699999999986176,680.8664259931196,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
24.267,65.929,3770,6.090000000002874,619.0476190473269,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
24.267,59.286,3773,6.630000000002838,569.0799396679314,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
24.267,60.286,1886,3.3599999999996726,561.3095238095785,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
24.233,65.429,6286,10.5699999999988,594.7019867550345,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
24.2,59.929,9428,15.910000000001673,592.5832809553117,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
24.14,66.583,13203,22.429999999994834,588.6312973697299,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
24.117,67.429,1887,2.159999999998945,873.6111111115379,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
24.033,63.643,6287,9.059999999995853,693.9293598237172,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
24.017,76.357,613,0.6400000000012369,957.8124999981488,1.0,ON,MED,23.0,COOL,ON,MED,22.5,COOL,ON,MED,23.0,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL
23.983,65.643,628,1.0899999999983265,576.1467889917102,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
23.967,60.643,9428,16.2599999999984,579.8277982780398,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
23.95,76.714,12872,14.280000000005202,901.4005602237612,1.0,ON,MED,23.0,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL,ON,MED,22.5,COOL
23.933,61.0,6288,10.760000000001128,584.3866171003104,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
23.933,62.786,13198,24.409999999997126,540.6800491602439,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
23.933,64.143,13197,24.13000000000011,546.9125569830062,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
23.917,62.857,3772,7.269999999997708,518.8445667126807,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
23.917,81.5,12910,14.300000000001091,902.7972027971339,1.0,OFF,MED,23.5,COOL,ON,MED,23.5,COOL,ON,MED,23.5,COOL,ON,MED,23.5,COOL,ON,MED,23.5,COOL,ON,MED,23.5,COOL
