timestamp,rows,time_taken,energy_consumption,future_temp,future_humi,current_temp,current_humi,door_status,outdoor_temp,outdoor_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
1736511474,[4654],[np.int64(628)],[np.float64(0.5299999999997453)],[np.float64(24.5)],[np.float64(65.143)],25.067,66.5,1.0,26.0,85.0,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,21.5,COOL,ON,MED,22.0,COOL,OFF,MED,22.0,COOL,ON,MED,22.0,COOL
1735919937,"[3710, 3711, 3712, 3713, 3714, 3715, 3716, 3717]","[np.int64(628), np.int64(805), np.int64(1257), np.int64(1885), np.int64(2514), np.int64(2564), np.int64(3143), np.int64(3771)]","[np.float64(0.8699999999998909), np.float64(0.8699999999998909), np.float64(1.75), np.float64(2.730000000000473), np.float64(3.619999999999891), np.float64(3.619999999999891), np.float64(4.5000000000009095), np.float64(5.3200000000006185)]","[np.float64(24.883), np.float64(24.883), np.float64(24.933), np.float64(24.817), np.float64(24.65), np.float64(24.65), np.float64(24.567), np.float64(24.567)]","[np.float64(53.5), np.float64(53.5), np.float64(56.214), np.float64(56.214), np.float64(55.714), np.float64(55.714), np.float64(55.214), np.float64(54.429)]",25.05,52.714,1.0,29.9,78.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1737733243,[],[],[],[],[],25.033,76.286,1.0,27.8,85.5,ON,MED,23.0,COOL,ON,MED,22.5,COOL,OFF,MED,23.0,COOL,OFF,MED,22.5,COOL,OFF,MED,22.5,COOL,OFF,MED,22.5,COOL
1736430377,"[4525, 4526, 4527, 4528, 4529, 4530]","[np.int64(628), np.int64(1257), np.int64(1885), np.int64(2513), np.int64(3142), np.int64(3770)]","[np.float64(0.6199999999998909), np.float64(1.3099999999994907), np.float64(2.0), np.float64(2.780000000000655), np.float64(3.5599999999994907), np.float64(4.329999999999927)]","[np.float64(24.95), np.float64(25.1), np.float64(25.2), np.float64(25.167), np.float64(25.167), np.float64(25.2)]","[np.float64(54.643), np.float64(54.071), np.float64(53.0), np.float64(52.786), np.float64(52.5), np.float64(52.071)]",24.967,55.357,1.0,34.9,46.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1736363119,[],[],[],[],[],24.95,57.357,1.0,31.3,64.0,OFF,QUIET,22.5,COOL,OFF,QUIET,22.5,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1736429748,"[4524, 4525, 4526, 4527, 4528, 4529]","[np.int64(629), np.int64(1257), np.int64(1886), np.int64(2514), np.int64(3142), np.int64(3771)]","[np.float64(0.6100000000005821), np.float64(1.230000000000473), np.float64(1.9200000000000728), np.float64(2.610000000000582), np.float64(3.390000000001237), np.float64(4.170000000000073)]","[np.float64(24.967), np.float64(24.95), np.float64(25.1), np.float64(25.2), np.float64(25.167), np.float64(25.167)]","[np.float64(55.357), np.float64(54.643), np.float64(54.071), np.float64(53.0), np.float64(52.786), np.float64(52.5)]",24.95,57.143,1.0,34.5,46.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1736431005,"[4526, 4527, 4528, 4529, 4530]","[np.int64(629), np.int64(1257), np.int64(1885), np.int64(2514), np.int64(3142)]","[np.float64(0.6899999999995998), np.float64(1.3800000000001091), np.float64(2.160000000000764), np.float64(2.9399999999996), np.float64(3.7100000000000364)]","[np.float64(25.1), np.float64(25.2), np.float64(25.167), np.float64(25.167), np.float64(25.2)]","[np.float64(54.071), np.float64(53.0), np.float64(52.786), np.float64(52.5), np.float64(52.071)]",24.95,54.643,1.0,34.9,46.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
1736514617,"[4659, 4660, 4661, 4662, 4663]","[np.int64(629), np.int64(1257), np.int64(1886), np.int64(2514), np.int64(3143)]","[np.float64(0.8599999999996726), np.float64(1.6299999999991996), np.float64(2.319999999999709), np.float64(3.0399999999999636), np.float64(3.789999999999054)]","[np.float64(23.367), np.float64(22.95), np.float64(22.867), np.float64(22.85), np.float64(22.767)]","[np.float64(69.357), np.float64(71.071), np.float64(72.143), np.float64(72.143), np.float64(72.929)]",24.95,66.643,1.0,25.2,86.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1735921194,"[3713, 3714, 3715, 3716, 3717, 3718, 3719]","[np.int64(628), np.int64(1257), np.int64(1307), np.int64(1886), np.int64(2514), np.int64(3143), np.int64(3771)]","[np.float64(0.9800000000004729), np.float64(1.8699999999998909), np.float64(1.8699999999998909), np.float64(2.7500000000009095), np.float64(3.5700000000006185), np.float64(4.359999999999673), np.float64(5.170000000000982)]","[np.float64(24.817), np.float64(24.65), np.float64(24.65), np.float64(24.567), np.float64(24.567), np.float64(24.45), np.float64(24.45)]","[np.float64(56.214), np.float64(55.714), np.float64(55.714), np.float64(55.214), np.float64(54.429), np.float64(53.429), np.float64(55.429)]",24.933,56.214,1.0,29.8,82.5,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1735920742,[],[],[],[],[],24.883,53.5,1.0,29.6,78.5,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1735920565,[],[],[],[],[],24.883,53.5,1.0,29.6,78.5,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1734785298,"[1816, 1817, 1818, 1819, 1820, 1821]","[np.int64(629), np.int64(1257), np.int64(1886), np.int64(2514), np.int64(3143), np.int64(3772)]","[np.float64(1.050000000000182), np.float64(2.0799999999999272), np.float64(3.0799999999999272), np.float64(3.969999999999345), np.float64(4.920000000000073), np.float64(5.8799999999992)]","[np.float64(24.667), np.float64(24.7), np.float64(24.55), np.float64(24.383), np.float64(24.267), np.float64(24.433)]","[np.float64(61.429), np.float64(61.786), np.float64(62.286), np.float64(61.214), np.float64(60.929), np.float64(62.071)]",24.833,60.857,1.0,33.6,57.5,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
1735921822,"[3714, 3715, 3716, 3717, 3718, 3719, 3720]","[np.int64(629), np.int64(679), np.int64(1258), np.int64(1886), np.int64(2515), np.int64(3143), np.int64(3772)]","[np.float64(0.8899999999994179), np.float64(0.8899999999994179), np.float64(1.7700000000004366), np.float64(2.5900000000001455), np.float64(3.3799999999991996), np.float64(4.190000000000509), np.float64(5.020000000000437)]","[np.float64(24.65), np.float64(24.65), np.float64(24.567), np.float64(24.567), np.float64(24.45), np.float64(24.45), np.float64(24.617)]","[np.float64(55.714), np.float64(55.714), np.float64(55.214), np.float64(54.429), np.float64(53.429), np.float64(55.429), np.float64(57.643)]",24.817,56.214,1.0,29.5,82.5,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1736426605,"[4519, 4520]","[np.int64(629), np.int64(1257)]","[np.float64(1.0300000000006548), np.float64(1.9900000000006912)]","[np.float64(24.6), np.float64(24.1)]","[np.float64(58.583), np.float64(61.786)]",24.767,56.214,1.0,33.0,52.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1736925377,"[5352, 5353, 5354, 5355, 5356, 5357]","[np.int64(615), np.int64(1229), np.int64(1844), np.int64(2459), np.int64(3075), np.int64(3689)]","[np.float64(1.1300000000010186), np.float64(2.110000000000582), np.float64(2.899999999999636), np.float64(3.6300000000010186), np.float64(4.3400000000001455), np.float64(5.079999999999927)]","[np.float64(22.8), np.float64(22.433), np.float64(22.283), np.float64(22.283), np.float64(22.183), np.float64(22.167)]","[np.float64(79.5), np.float64(78.786), np.float64(78.143), np.float64(77.143), np.float64(75.357), np.float64(75.071)]",24.7,85.714,1.0,24.8,92.0,ON,MED,21.0,COOL,ON,MED,22.0,COOL,ON,HIGH,23.0,COOL,ON,HIGH,23.0,COOL,ON,HIGH,22.0,COOL,ON,HIGH,22.0,COOL
1734786555,"[1818, 1819, 1820, 1821, 1822]","[np.int64(629), np.int64(1257), np.int64(1886), np.int64(2515), np.int64(3143)]","[np.float64(1.0), np.float64(1.889999999999418), np.float64(2.8400000000001455), np.float64(3.7999999999992724), np.float64(4.649999999999636)]","[np.float64(24.55), np.float64(24.383), np.float64(24.267), np.float64(24.433), np.float64(24.433)]","[np.float64(62.286), np.float64(61.214), np.float64(60.929), np.float64(62.071), np.float64(64.0)]",24.7,61.786,1.0,32.7,65.5,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
1734785927,"[1817, 1818, 1819, 1820, 1821, 1822]","[np.int64(628), np.int64(1257), np.int64(1885), np.int64(2514), np.int64(3143), np.int64(3771)]","[np.float64(1.0299999999997453), np.float64(2.0299999999997453), np.float64(2.9199999999991633), np.float64(3.869999999999891), np.float64(4.829999999999018), np.float64(5.6799999999993815)]","[np.float64(24.7), np.float64(24.55), np.float64(24.383), np.float64(24.267), np.float64(24.433), np.float64(24.433)]","[np.float64(61.786), np.float64(62.286), np.float64(61.214), np.float64(60.929), np.float64(62.071), np.float64(64.0)]",24.667,61.429,1.0,32.7,65.5,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
1735922451,[],[],[],[],[],24.65,55.714,1.0,29.3,81.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1734862607,"[1939, 1940, 1941, 1942, 1943, 1944]","[np.int64(628), np.int64(1257), np.int64(1886), np.int64(2514), np.int64(3143), np.int64(3771)]","[np.float64(0.7800000000006548), np.float64(1.7899999999999636), np.float64(2.9200000000000728), np.float64(4.0), np.float64(5.119999999998981), np.float64(6.130000000000109)]","[np.float64(24.14), np.float64(24.45), np.float64(24.383), np.float64(24.233), np.float64(24.267), np.float64(23.85)]","[np.float64(66.583), np.float64(66.0), np.float64(65.286), np.float64(65.429), np.float64(65.929), np.float64(64.929)]",24.65,65.857,1.0,30.3,64.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
1735922501,[],[],[],[],[],24.65,55.714,1.0,29.3,81.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1736505187,"[4644, 4645, 4646, 4647, 4648]","[np.int64(628), np.int64(1257), np.int64(1886), np.int64(2514), np.int64(3143)]","[np.float64(0.819999999999709), np.float64(1.5399999999990541), np.float64(2.259999999999309), np.float64(3.0499999999992724), np.float64(3.719999999999345)]","[np.float64(24.117), np.float64(23.74), np.float64(23.633), np.float64(23.55), np.float64(23.517)]","[np.float64(67.429), np.float64(68.667), np.float64(67.786), np.float64(68.143), np.float64(69.643)]",24.617,67.286,1.0,26.0,85.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1735925594,"[3721, 3722]","[np.int64(629), np.int64(1257)]","[np.float64(0.8099999999994907), np.float64(1.7199999999993452)]","[np.float64(24.4), np.float64(24.417)]","[np.float64(55.143), np.float64(54.929)]",24.617,57.643,1.0,29.3,78.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1736427234,[4520],[np.int64(628)],[np.float64(0.9600000000000364)],[np.float64(24.1)],[np.float64(61.786)],24.6,58.583,1.0,33.0,52.5,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1736840256,"[5177, 5178, 5179, 5180, 5181]","[np.int64(629), np.int64(1258), np.int64(1886), np.int64(2515), np.int64(3144)]","[np.float64(0.6400000000012369), np.float64(1.2900000000008731), np.float64(1.7900000000008731), np.float64(2.280000000000655), np.float64(2.9400000000005093)]","[np.float64(23.55), np.float64(23.45), np.float64(23.367), np.float64(23.35), np.float64(23.383)]","[np.float64(83.643), np.float64(83.214), np.float64(84.143), np.float64(83.857), np.float64(83.429)]",24.583,86.0,1.0,25.1,92.0,ON,LOW,23.0,COOL,ON,LOW,23.0,COOL,ON,MED,23.5,COOL,ON,MED,23.5,COOL,ON,MED,23.5,COOL,ON,MED,23.5,COOL
