timestamp,rows,time_taken,energy_consumption,future_temp,future_humi,current_temp,current_humi,weather_status,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1735827337,[],[],[],[],[],23.013,57.611,Clouds,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,23.3,COOL,ON,MID,22.6,COOL,ON,HIGH,24.0,COOL,ON,HIGH,22.8,COOL,ON,VERY LOW,22.7,COOL,ON,MID,23.1,COOL
1735844599,[],[],[],[],[],23.013,58.833,Clouds,ON,MID,22.6,COOL,ON,VERY HIGH,23.1,DRY,ON,MID,23.3,COOL,ON,VERY LOW,22.6,DRY,ON,HIGH,22.6,COOL,ON,VERY LOW,22.8,DRY,ON,MID,23.1,COOL,ON,MID,22.6,COOL
1737138809,[],[],[],[],[],23.012,70.611,Clouds,ON,MID,23.0,COOL,ON,VERY LOW,25.0,COOL,ON,VERY HIGH,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY LOW,25.0,COOL,ON,MID,25.0,COOL,ON,MID,23.0,COOL,ON,VERY HIGH,23.0,COOL
1735219508,[],[],[],[],[],23.012,61.222,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1735223138,[],[],[],[],[],23.012,59.889,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1736345450,[],[],[],[],[],23.012,59.056,Clouds,ON,VERY HIGH,23.2,COOL,ON,MID,22.7,COOL,ON,MID,23.4,COOL,ON,MID,23.3,DRY,ON,HIGH,22.9,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,MID,22.7,DRY
1735827720,[],[],[],[],[],23.012,58.444,Clouds,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.9,DRY,ON,VERY HIGH,23.3,COOL,ON,LOW,22.6,COOL,ON,HIGH,24.0,COOL,ON,HIGH,22.8,COOL,ON,VERY LOW,22.7,COOL,ON,MID,23.2,COOL
1735827676,[],[],[],[],[],23.012,58.444,Clouds,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,23.3,COOL,ON,MID,22.6,COOL,ON,HIGH,24.0,COOL,ON,HIGH,22.8,COOL,ON,VERY LOW,22.7,COOL,ON,MID,23.1,COOL
1735827701,[],[],[],[],[],23.012,58.444,Clouds,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,23.3,COOL,ON,MID,22.6,COOL,ON,HIGH,24.0,COOL,ON,HIGH,22.8,COOL,ON,VERY LOW,22.7,COOL,ON,MID,23.2,COOL
1735827710,[],[],[],[],[],23.012,58.444,Clouds,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,22.9,COOL,ON,VERY HIGH,23.3,COOL,ON,LOW,22.6,COOL,ON,HIGH,24.0,COOL,ON,HIGH,22.8,COOL,ON,VERY LOW,22.7,COOL,ON,MID,23.2,COOL
1735220498,[],[],[],[],[],23.0,60.5,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1735215218,[],[],[],[],[],23.0,59.611,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
1735225177,[],[],[],[],[],23.0,60.0,Clouds,ON,MID,23.4,COOL,ON,MID,22.8,COOL,ON,MID,22.9,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.5,COOL,OFF,OFF,22.9,COOL,ON,MID,23.0,COOL
